px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.63478	-5.21225	-2.6653	2.38645	0.654638	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	0
7.69777	-5.37626	-2.66803	2.37569	0.616484	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	1.10076
7.80449	-5.47565	-2.66803	2.40957	0.616484	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0
7.84251	-5.61899	-2.62012	2.39472	0.577806	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	1.65836
7.94907	-5.71468	-2.62012	2.42648	0.577806	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	0
8.03751	-5.91595	-2.84016	2.40615	0.543508	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	9.4085
8.14355	-6.0094	-2.84016	2.43334	0.543508	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0
8.2136	-6.16485	-2.79486	2.42075	0.509798	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	1.82178
8.32986	-6.26422	-2.79486	2.4488	0.509798	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0
8.37059	-6.40408	-2.73065	2.43085	0.474867	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.888
8.48498	-6.50004	-2.73065	2.45696	0.474867	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0
8.53554	-6.65354	-2.72303	2.43539	0.439244	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	1.19333
8.64986	-6.74873	-2.72303	2.45952	0.439244	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0
8.68211	-6.88646	-2.68437	2.4346	0.404402	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	1.40067
8.78442	-6.97212	-2.68437	2.45482	0.404402	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0
8.8654	-7.16734	-2.84831	2.42219	0.36537	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	6.41926
8.97285	-7.25975	-2.84831	2.44047	0.36537	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0
9.00067	-7.40455	-2.69079	2.41094	0.328196	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	6.63715
9.111	-7.50164	-2.69079	2.42897	0.328196	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0
9.15116	-7.6681	-2.71393	2.39328	0.290102	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	1.359
9.25074	-7.75922	-2.71393	2.4078	0.290102	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0
9.23455	-7.88882	-2.52517	2.36701	0.247335	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	7.71437
9.33381	-7.98465	-2.52517	2.38061	0.247335	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0
9.3796	-8.1643	-2.59158	2.34232	0.211701	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	1.97571
9.4698	-8.25609	-2.59158	2.3529	0.211701	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0
9.46369	-8.41373	-2.45844	2.30228	0.164713	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	4.84254
9.55379	-8.51325	-2.45844	2.31134	0.164713	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0
9.68626	-8.73364	-2.84962	2.30275	0.163398	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	31.4953
9.78124	-8.83857	-2.84962	2.31093	0.163398	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0
9.76793	-9.00001	-2.72803	2.25466	0.114594	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	4.37845
9.85379	-9.10484	-2.72803	2.26039	0.114594	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0
9.83031	-9.26427	-2.63714	2.202	0.0660129	9.47534	-9.42627	9.55	-9.5	0	-3.00023	2.97883
9.90767	-9.36988	-2.63714	2.2053	0.0660129	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0
9.93933	-9.55995	-2.70466	2.16644	0.0398416	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	1.86089
10.0147	-9.6712	-2.70466	2.16843	0.0398416	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0
9.96353	-9.84296	-2.57264	2.09272	-0.0220674	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	5.16726
10.0333	-9.96475	-2.57264	2.09151	-0.0220674	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0
10.0398	-10.1453	-2.57513	2.04433	-0.0545641	9.92627	-10.4745	9.75	-10.3	0	-3.00065	1.0611
10.0977	-10.2592	-2.57513	2.0416	-0.0545641	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0
10.1049	-10.4292	-2.61326	2.00822	-0.0715159	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	1.61551
10.1649	-10.5588	-2.61326	2.00428	-0.0715159	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0
10.1121	-10.743	-2.53259	1.92675	-0.130139	9.88465	-10.9383	9.85	-10.9	0	-2.73074	2.97021
10.1595	-10.8727	-2.53259	1.9196	-0.130139	9.83614	-11.041	9.85	-11.05	0	-2.73073	0
10.1344	-11.0366	-2.54011	1.87301	-0.156819	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.722883
10.1711	-11.1572	-2.54011	1.86517	-0.156819	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0
10.1433	-11.3347	-2.5638	1.81752	-0.182002	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.727915
10.1735	-11.4584	-2.5638	1.80841	-0.182002	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0
9.99724	-11.6451	-2.38928	1.64884	-0.315831	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	16.4805
10.0051	-11.7635	-2.38928	1.63305	-0.315831	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0
9.94956	-11.91	-2.39108	1.5813	-0.341399	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.558181
9.94934	-12.0287	-2.39108	1.56424	-0.341399	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0
9.81288	-12.2016	-2.34149	1.44143	-0.434555	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	5.40832
9.79613	-12.3167	-2.34149	1.4197	-0.434555	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0
9.57241	-12.4695	-2.27135	1.23606	-0.582413	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	12.025
9.53324	-12.5756	-2.27135	1.20691	-0.582413	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0
9.43426	-12.7047	-2.27489	1.13577	-0.616141	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.481263
9.37945	-12.8164	-2.27489	1.10191	-0.616141	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0
9.07256	-12.965	-2.28773	0.844611	-0.830047	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	22.8831
8.99469	-13.0483	-2.28773	0.803031	-0.830047	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	0
8.78536	-13.1411	-2.33613	0.657379	-0.922942	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	3.73861
8.682	-13.2163	-2.33613	0.606704	-0.922942	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0
8.47229	-13.2821	-2.41596	0.459511	-1.02092	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	4.58786
8.36279	-13.3325	-2.41596	0.408413	-1.02092	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	0
8.1074	-13.3643	-2.54643	0.231263	-1.14195	8.22926	-13.1698	8.2	-13.15	-2.72741	0	8.23744
7.97046	-13.3919	-2.54643	0.16846	-1.14195	8.03583	-13.1513	8.05	-13.15	-2.72742	0	0
7.79865	-13.373	-2.57856	0.0665562	-1.18249	7.82914	-13.0525	7.9	-13.15	-2.72986	0	1.74364
7.65737	-13.3778	-2.57856	0.00158069	-1.18249	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0
7.63673	-13.3839	-2.39853	0.0176775	-1.10433	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	6.53074
7.51699	-13.3828	-2.39853	-0.0375775	-1.10433	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0
7.36027	-13.3444	-2.41599	-0.11872	-1.12089	7.21108	-13.0985	7.3	-13.25	-2.72846	0	1.13625
7.22921	-13.3248	-2.41599	-0.180343	-1.12089	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0
7.0338	-13.2438	-2.55591	-0.29562	-1.18278	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	5.95667
6.91285	-13.2033	-2.55591	-0.354801	-1.18278	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0
6.77823	-13.1585	-2.56635	-0.41747	-1.18144	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.0658659
6.65139	-13.0977	-2.56635	-0.482435	-1.18144	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0
6.57989	-13.0638	-2.3765	-0.513723	-1.13253	6.40137	-13.0799	6.4	-13.05	-2.72678	0	7.01874
6.46827	-12.9967	-2.3765	-0.576024	-1.13253	6.26174	-13.0534	6.25	-13.05	-2.72678	0	0
6.34454	-12.944	-2.34811	-0.623798	-1.11288	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	0.863024
6.24231	-12.8661	-2.34811	-0.684954	-1.11288	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	0
6.0269	-12.7788	-2.62586	-0.735749	-1.12312	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	9.37169
5.93217	-12.6886	-2.62586	-0.791946	-1.12312	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	0
5.84781	-12.6166	-2.46464	-0.836618	-1.09217	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	6.71624
5.76017	-12.5141	-2.46464	-0.896694	-1.09217	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	0
5.57881	-12.4197	-2.60691	-0.924641	-1.06959	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	2.3756
5.49602	-12.3035	-2.60691	-0.983491	-1.06959	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	0
5.36752	-12.2272	-2.58578	-1.00907	-1.0405	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	1.32602
5.29549	-12.1057	-2.58578	-1.06624	-1.0405	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0
5.14001	-12.0094	-2.6572	-1.07768	-1.00817	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	1.57858
5.08027	-11.8916	-2.6572	-1.12811	-1.00817	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0
4.93396	-11.7882	-2.7232	-1.13848	-0.975169	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	1.09748
4.87508	-11.6514	-2.7232	-1.19216	-0.975169	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0
4.83165	-11.5528	-2.58524	-1.24418	-0.972895	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	4.12334
4.7899	-11.418	-2.58524	-1.29765	-0.972895	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0
4.51241	-11.2907	-2.96355	-1.20853	-0.865677	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	27.0956
4.46329	-11.152	-2.96355	-1.25178	-0.865677	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0
4.49567	-11.0372	-2.73568	-1.33535	-0.892851	4.43713	-11.024	4.45	-11.05	0	1.81614	10.293
4.46443	-10.8908	-2.73568	-1.38452	-0.892851	4.45136	-10.93	4.45	-10.95	0	1.81612	0
4.43698	-10.7477	-2.73652	-1.43066	-0.890752	4.44745	-10.786	4.45	-10.8	0	2.72555	0.0210065
