px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.3219	23.9852	3.20065	0.291318	0.0568904	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	0.728077
66.2295	23.9565	2.55491	0.283401	0.0396853	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.30309
68.264	24.3623	2.48184	0.189288	-0.0429575	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.042796
68.352	24.3946	2.63849	0.200192	-0.0315341	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.98783
70.8197	24.881	2.85519	0.227826	0.00517472	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.114679
70.7864	24.8676	2.46395	0.210313	-0.0208561	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.451497
72.8929	24.7228	2.43837	-0.180206	-0.246567	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.21379
72.9432	24.7417	2.5089	-0.166765	-0.232792	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.668875
75.0023	25.2423	2.12361	0.325536	0.206472	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	0.950357
74.9923	25.2378	2.12945	0.321818	0.203914	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0339652
77.111	24.9539	2.21134	-0.437216	-0.38091	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	1.36772
77.135	24.9647	2.26393	-0.426087	-0.366063	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.174802
79.0989	25.0113	1.75892	0.0570208	0.160451	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.68856
79.1155	25.0114	1.85792	0.0716895	0.177434	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.0636061
80.8045	24.8772	1.9647	-0.0471065	-0.00225928	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.139334
80.8562	24.8878	1.78508	-0.0848542	-0.0553312	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.08708
82.6086	24.6374	2.11739	-0.1004	-0.0297586	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.170237
82.5857	24.6276	1.84627	-0.161935	-0.11498	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.286695
84.1667	24.5423	1.89888	0.0280667	0.0644303	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.16783
84.1693	24.5442	1.74843	0.0121488	0.0385597	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.128174
85.641	23.8267	1.77262	-0.584307	-0.330426	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.577851
85.7006	23.8489	1.92135	-0.518285	-0.258155	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.861802
86.9486	23.5081	1.29807	-0.287956	0.0212991	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	0.67804
