px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	0
0.00223134	0	0	0	0	0	0	0	0	0	0	0.666167
0.00223134	0	0	4.16334e-17	2.77556e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0
0.952412	-1.61419	2.15665	2.05661e-17	4.0042e-17	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	2.81495
2.26134	-1.61419	2.15665	3.46945e-17	-2.77556e-17	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0
5.30246	3.47508	2.79859	-0.189383	-0.0690373	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	1.44489
6.59774	3.38517	2.79859	-0.258421	-0.0690373	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	0
6.50332	1.46907	3.39527	-0.59786	-0.545924	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	2.7776
7.54305	0.088879	3.39527	-1.14378	-0.545924	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0
8.46024	1.31617	3.65723	-0.389932	0.0119327	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	0.577533
10.832	-0.0318333	3.65723	-0.377999	0.0119327	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0
11.1504	1.29463	3.5455	0.253535	0.53231	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.425927
13.0184	2.07114	3.5455	0.785845	0.53231	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0
13.5122	2.05396	3.82847	0.726592	0.477983	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0.0981993
14.8639	3.85442	3.82847	1.20457	0.477983	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0
16.0623	3.08192	3.97232	0.398852	0.39988	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.749341
18.513	5.08191	3.97232	0.798732	0.39988	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0
19.2066	3.97456	3.87654	0.185777	-0.0986737	19.363	3.87122	18.923	3.74161	2.61382	0.95648	0.463583
21.6921	4.64764	3.87654	0.0871032	-0.0986737	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0
21.578	4.74968	4.04847	0.149609	-0.0624395	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.160725
23.8718	4.87328	4.04847	0.0871697	-0.0624395	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0
24.5182	5.75224	4.43685	0.456579	0.108454	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	0.392223
26.653	6.87574	4.43685	0.565033	0.108454	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0
26.4896	6.84234	4.7023	0.527741	0.0901302	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.279455
28.4253	8.26363	4.7023	0.617871	0.0901302	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0
29.2815	8.34804	4.87344	0.529271	0.0362392	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.099438
31.4918	9.79627	4.87344	0.56551	0.0362392	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0
31.68	9.53503	5.00457	0.415741	-0.00764521	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.0449857
34.4095	10.8787	5.00457	0.408095	-0.00764521	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	0
34.9246	10.9315	5.38979	0.323361	-0.0661486	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	0.125568
37.9168	11.9159	5.38979	0.257213	-0.0661486	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0
37.4363	12.1736	5.50139	0.385408	0.00206457	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	0.149365
39.9343	13.1162	5.50139	0.387473	0.00206457	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0
39.7778	13.5105	5.53399	0.461253	0.0382629	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	0.0190345
42.806	15.0679	5.53399	0.499516	0.0382629	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0
42.4271	14.914	5.4221	0.510392	0.0400813	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.0175363
45.0602	16.6425	5.4221	0.550473	0.0400813	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0
45.558	16.4703	5.74275	0.352186	-0.0980368	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.251897
48.1044	17.3751	5.74275	0.254149	-0.0980368	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0
47.7829	17.4521	5.70301	0.276306	-0.0789493	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.00713355
50.8827	18.209	5.70301	0.197357	-0.0789493	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	0
50.4697	18.6465	5.62033	0.321454	-0.0536715	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.027675
53.3838	19.446	5.62033	0.267783	-0.0536715	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	0
53.4219	19.727	5.82563	0.347496	-0.00548282	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.0972716
55.976	20.5635	5.82563	0.342014	-0.00548282	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	0
